t,baseline,uav_xyz,coverage_tau_db,coverage_count,coverage_ratio,best_sinr_mean,best_sinr_min,best_sinr_max,load_var,per_uav_load_min,per_uav_load_mean,per_uav_load_max
49,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,44.0,0.29333333333333333,-62.93198013305664,-120.00000762939453,80.70252227783203,1321.958984375,5.0,29.0,110.0
0,RandomUAVBaseline,"[[273.9233703613281, -460.42657470703125, 56.14603042602539], [-966.9447021484375, 626.5404663085938, 186.913330078125], [213.27154541015625, 458.9931335449219, 131.5437469482422], [870.1448364257812, 631.7070922851562, 50.41077423095703], [714.8085327148438, -932.828857421875, 159.4483184814453]]",5.0,24.0,0.16,-88.46272277832031,-120.00000762939453,87.08472442626953,2003.1019287109375,1.0,29.0,131.0
1,RandomUAVBaseline,"[[-648.6887817382812, 726.3578491210938, 131.21917724609375], [-400.57623291015625, -154.6255645751953, 54.24795150756836], [-751.4334716796875, 341.24884033203125, 147.07843017578125], [230.7702178955078, -232.6448974609375, 199.5814971923828], [961.670654296875, 371.0839538574219, 147.5688934326172]]",5.0,29.0,0.19333333333333333,-82.28738403320312,-120.00000762939453,81.92066955566406,1765.6734619140625,1.0,29.200000762939453,124.0
2,RandomUAVBaseline,"[[376.8934631347656, -222.1571502685547, 70.26447296142578], [442.9766845703125, 50.70864486694336, 96.5362777709961], [-28.329282760620117, 778.9756469726562, 190.1065216064453], [-284.40960693359375, 143.05966186523438, 98.28041076660156], [188.60006713867188, -324.17755126953125, 108.74285125732422]]",5.0,37.0,0.24666666666666667,-71.31159210205078,-120.00000762939453,80.81596374511719,1527.3875732421875,6.0,29.0,117.0
3,RandomUAVBaseline,"[[780.5487060546875, -545.684814453125, 143.4780731201172], [-831.9692993164062, 665.2882690429688, 168.0647430419922], [-521.2611083984375, 752.9684448242188, 58.78520584106445], [-327.765869140625, -699.4410400390625, 117.5509033203125], [592.6485595703125, -538.715576171875, 57.80319595336914]]",5.0,24.0,0.16,-89.61901092529297,-120.00000762939453,87.1843032836914,2042.244873046875,1.0,29.600000381469727,132.0
4,RandomUAVBaseline,"[[-190.8963165283203, -602.9739379882812, 63.61295700073242], [160.66476440429688, -402.60772705078125, 150.79922485351562], [-600.9691162109375, 884.2261962890625, 104.76652526855469], [-789.0094604492188, 258.21630859375, 189.07318115234375], [-119.24568939208984, 909.1809692382812, 124.984375]]",5.0,28.0,0.18666666666666668,-84.14859771728516,-120.00000762939453,83.00312042236328,1755.102294921875,3.0,28.600000381469727,124.0
5,RandomUAVBaseline,"[[-149.54275512695312, 240.42691040039062, 199.2644805908203], [897.8873291015625, -79.90972137451172, 163.65933227539062], [-5.154609203338623, 58.62432098388672, 167.86785888671875], [-170.6883087158203, 468.9671325683594, 156.6714324951172], [864.119384765625, -770.1347045898438, 159.35226440429688]]",5.0,20.0,0.13333333333333333,-93.25074005126953,-120.00000762939453,79.07476806640625,2039.3878173828125,2.0,29.200000762939453,132.0
6,RandomUAVBaseline,"[[854.8478393554688, 935.8523559570312, 52.2059440612793], [727.2801513671875, 962.3900756835938, 193.58152770996094], [-702.4719848632812, 945.2576293945312, 183.49032592773438], [644.7476806640625, -40.02415084838867, 84.8559341430664], [603.7611694335938, 847.060302734375, 89.91954040527344]]",5.0,18.0,0.12,-96.43684387207031,-120.00000762939453,84.45588684082031,2004.5303955078125,0.0,28.399999618530273,131.0
7,RandomUAVBaseline,"[[77.86881256103516, -114.49433898925781, 189.65260314941406], [-918.9785766601562, 464.01239013671875, 142.15599060058594], [-943.269287109375, 438.4395446777344, 52.39875793457031], [515.9019775390625, 25.517446517944336, 189.36563110351562], [-867.8350219726562, 682.6345825195312, 60.003501892089844]]",5.0,24.0,0.16,-89.71503448486328,-120.00000762939453,79.61095428466797,2232.816162109375,0.0,29.200000762939453,137.0
8,RandomUAVBaseline,"[[-311.3800354003906, -139.4025421142578, 194.90931701660156], [124.46368408203125, -482.27081298828125, 86.25135803222656], [776.2366333007812, -548.2611694335938, 68.6832046508789], [-423.3385009765625, 172.24612426757812, 133.1135711669922], [619.4215698242188, 120.951904296875, 93.26318359375]]",5.0,31.0,0.20666666666666667,-79.70660400390625,-120.00000762939453,81.2306900024414,1591.673583984375,4.0,29.0,119.0
